㋿ ㄌㄧㄥˋ-ㄏㄜˊ
⚙️ ㄔˇ-ㄌㄨㄣˊ
⚡️ ㄉㄧㄢˋ
⚰️ ㄍㄨㄢ-ㄇㄨˋ
⚰️ ㄍㄨㄢ-ㄘㄞˊ
⚱️ ㄍㄨˇ-ㄏㄨㄟ
⚱️ ㄍㄨˇ-ㄏㄨㄟ-ㄊㄢˊ
⚽️ ㄗㄨˊ-ㄑㄧㄡˊ
⛈ ㄩˇ
⛓ ㄊㄧㄝˇ-ㄌㄧㄢˋ
⛓ ㄌㄧㄢˋ-ㄊㄧㄠˊ
⛳️ ㄍㄠ-ㄦˇ-ㄈㄨ-ㄑㄧㄡˊ
⛷ ㄏㄨㄚˊ-ㄒㄩㄝˇ
⛸ ㄌㄧㄡ-ㄅㄧㄥ
✂️ ㄐㄧㄢˇ-ㄉㄠ
✏️ ㄅㄧˇ
✏️ ㄑㄧㄢ-ㄅㄧˇ
✒️ ㄅㄧˇ
✨ ㄒㄧㄥ
⭐️ ㄒㄧㄥ
🌂 ㄙㄢˇ
🌂 ㄩˇ-ㄙㄢˇ
🌈 ㄘㄞˇ-ㄏㄨㄥˊ
🌍 ㄉㄧˋ-ㄑㄧㄡˊ
🌎 ㄉㄧˋ-ㄑㄧㄡˊ
🌏 ㄉㄧˋ-ㄑㄧㄡˊ
🌑 ㄩㄝˋ
🌒 ㄩㄝˋ
🌓 ㄩㄝˋ
🌔 ㄩㄝˋ
🌕 ㄩㄝˋ
🌖 ㄩㄝˋ
🌗 ㄩㄝˋ
🌘 ㄩㄝˋ
🌙 ㄩㄝˋ
🌚 ㄩㄝˋ
🌛 ㄩㄝˋ
🌜 ㄩㄝˋ
🌝 ㄩㄝˋ
🌞 ㄊㄞˋ-ㄧㄤˊ
🌞 ㄖˋ
🌟 ㄒㄧㄥ
🌡 ㄨㄣ-ㄉㄨˋ-ㄐㄧˋ
🌦 ㄩˇ
🌧 ㄩˇ
🌨 ㄒㄩㄝˇ
🌪 ㄌㄨㄥˊ-ㄐㄩㄢˇ-ㄈㄥ
🌭 ㄖㄜˋ-ㄍㄡˇ
🌰 ㄌㄧˋ-ㄗ˙
🌱 ㄧㄚˊ
🌳 ㄉㄚˋ-ㄕㄨˋ
🌳 ㄕㄨˋ
🌵 ㄒㄧㄢ-ㄖㄣˊ-ㄓㄤˇ
🌶 ㄌㄚˋ-ㄐㄧㄠ
🌷 ㄏㄨㄚ
🌷 ㄩˋ-ㄉㄧㄥ-ㄒㄧㄤ
🌷 ㄩˋ-ㄐㄧㄣ-ㄒㄧㄤ
🌸 ㄏㄨㄚ
🌸 ㄧㄥ-ㄏㄨㄚ
🌹 ㄇㄟˊ-ㄍㄨㄟ
🌹 ㄏㄨㄚ
🌺 ㄏㄨㄚ
🌻 ㄊㄞˋ-ㄧㄤˊ-ㄏㄨㄚ
🌻 ㄏㄨㄚ
🌻 ㄒㄧㄤˋ-ㄖˋ-ㄎㄨㄟˊ
🌼 ㄏㄨㄚ
🌽 ㄩˋ-ㄇㄧˇ
🌾 ㄇㄧˇ
🌿 ㄧㄝˋ
🍀 ㄧㄝˋ
🍁 ㄧㄝˋ
🍂 ㄧㄝˋ
🍃 ㄧㄝˋ
🍄 ㄇㄛˊ-ㄍㄨ
🍅 ㄈㄢ-ㄑㄧㄝˊ
🍅 ㄒㄧ-ㄏㄨㄥˊ-ㄕˋ
🍆 ㄑㄧㄝˊ-ㄗ˙
🍇 ㄆㄨˊ-ㄊㄠˊ
🍈 ㄒㄧㄤ-ㄍㄨㄚ
🍉 ㄒㄧ-ㄍㄨㄚ
🍊 ㄐㄩˊ
🍋 ㄋㄧㄥˊ-ㄇㄥˊ
🍌 ㄒㄧㄤ-ㄐㄧㄠ
🍍 ㄈㄥˋ-ㄌㄧˊ
🍎 ㄆㄧㄥˊ-ㄍㄨㄛˇ
🍏 ㄆㄧㄥˊ-ㄍㄨㄛˇ
🍐 ㄌㄧˊ
🍑 ㄊㄠˊ
🍒 ㄧㄥ-ㄊㄠˊ
🍓 ㄘㄠˇ-ㄇㄟˊ
